season,celebrity_name,R_origin,official_tag,MS_all,MS_alt,mean_deltaR_alt,max_deltaR_alt
2,Jerry Rice,2,rank,0.9574271077563381,0.5773502691896258,1.6666666666666667,2.0
4,Billy Ray Cyrus,5,percent,1.4142135623730951,1.5275252316519465,1.3333333333333333,3.0
11,Bristol Palin,3,percent,0.9574271077563381,1.1547005383792515,1.0,1.0
17,Bill Engvall,4,percent,1.9148542155126762,2.3094010767585034,2.0,2.0
27,Bobby Bones,1,percent,0.5773502691896257,0.5773502691896257,3.6666666666666665,4.0
29,Nelly,3,percent_bottom2,0.816496580927726,1.0,1.0,2.0
